Name,URL,Instagram,Email address,Address,Town / City,Phone,Open to public?,Online store?,Categories,Hours,Description,output
Algoma Farmers' Market,http://algomafarmersmarket.ca/,https://www.instagram.com/algomafarmersmarket/,algomafarmersmarket@hotmail.com,"65 Foster Dr. Sault Ste. Marie, ON P6A 1X3",Marie,705-779-2586,Yes,No,Farmer's Market,Saturday 8:30 AM - 1:00 PM,,
Almonte Farmers' Market,http://www.almontefarmersmarket.com/,https://www.instagram.com/almonte_farmers_market,teamworkcsa@hotmail.com,"Ottawa Valley Rail Trail between Bridge St. and John St. Almonte, ON K0A 1A0",Almonte,613-259-2177,Yes,No,Farmer's Market,Saturday 8:30 - 12:30 May to October,,
Amherstburg Farmers Market,https://amherstburgfarmersmarket.ca/,https://www.instagram.com/amherstburgmarket,farmersmarketamherstburg@gmail.com,"8728 Howard Avenue ,Amherstburg, ON N9V0C8",Amherstburg,519-736-7361,Yes,No,Farmer's Market,Saturday9:00 AM - 1:00 PM,,
Ancaster Farmers Market,http://shopancasterfarmersmarket.com/,https://www.instagram.com/ancasterfarmersmarket,"marketmanager@shopancasterfarmersmarket.com","357 Wilson St E, Ancaster, ON L9G 2C1",Ancaster,289-239-7828,Yes,No,Farmer's Market,Wednesday From 3-7 pm,,
Annette Village Farmers' Market,http://www.annettevillagemarket.com/,https://www.instagram.com/annette_village_fm,annettevillagefarmersmrkt@gmail.co,"680 Annette St.,Toronto, ON M6S 2C8",Toronto,416-458-9393,Yes,No,Farmer's Market,Wednesday 3-7pm,,
Argyle Farmers Market,argylefarmersmarket.business.site,-,farmers.market.argyle@gmail.co,"18 Hilltop Dr.,Arnstein, ON P0H1A0",Arnstein,705-358-7821,Yes,No,Farmer's Market,-,,
Aurora Farmers Market & Artisan Fair,https://theaurorafarmersmarket.com/,https://www.instagram.com/theaurorafarmersmarket,theaurorafarmersmarket@gmail.co,"49 Wells Street, Aurora, ON L4G 6S6",Aurora,289-796-1825,Yes,No,Farmer's Market,8 a.m. - 1 p.m.,,
Barry's Bay Farmers' Market,-,-,jdeorganics@gmail.co,"250 John St.Barry's Bay, ON K0J 1B0",Barry's Bay,613-401-2749,Yes,No,Farmer's Market,-,,
Bayfield Farmers' Market,"https://www.grandbendvillagefm.com/,%20https://bayfieldfarmersmarket.com/",https://www.instagram.com/bayfieldfarmersmarket/,grandbendvillagefm@gmail.co,"Clan Gregor Square,Bayfield, Ontario, ON N0M 1T0",Bayfield,519-237-3108,Yes,No,Farmer's Market,-,,
Belleville Farmers' Market,http://bellevillefarmersmarketon.ca/,https://www.instagram.com/bellevillefarmersmarketon,sharonkleinsteuber@gmail.co,"182 Pinnacle Street between Market & Macannany St.,Belleville, ON K0K 2Y0",Belleville,"613-393-5671",Yes,,Farmer's Market,"Tuesday 8:00 AM - 5:00 PM, Thursday 8:00 AM - 5:00 PM, Saturday 8:00 AM - 5:00 PM",,
Bloor.Borden Farmers' Market,https://bloorborden.com/,https://www.instagram.com/bloorbordenmarket/,bloorbordenmarket@gmail.com,"300 Borden St, Toronto, ON M5S 2N5",Toronto,613-475-4769,Yes,Yes,Farmer's Market,Wednesdays 3:00pm- 7:00pm,,
Bobcaygeon Farmers Market,https://www.bobcaygeonfarmersmarket.com/,https://www.instagram.com/bobcaygeonfarmersmarket/,info@bobcaygeonfarmersmarket.com,"47 Mansfield Street, Bobcaygeon, ON, K0M1A0",Bobcaygeon,705-738-9426,Yes,,Farmer's Market,Saturdays 8:00am - 1:00pm,,
Bradford Farmers' Market,https://www.bradfordfarmersmarket.ca/,https://www.instagram.com/bradfordfarmersmarket,bradfordontariofarmersmarket@gmail.com,"425 Holland Street West, Bradford West Gwillimbury, ON L3Z 0J2",Bradford West Gwillimbury,416-899-9741,Yes,Yes,Farmer's Market,Saturdays from 9AM – 1PM,,
Brampton Farmers' Market,https://www.brampton.ca/markets,https://www.instagram.com/experiencebrampton,markets@brampton.ca,"2 Wellington Street West, Brampton, ON L6Y 4R2",Brampton,416-806-3422,,,Farmer's Market,Saturdays 8:00am - 1:00pm,,
Brantford Farmers Market,http://www.brantford.ca/farmersmarket,https://www.instagram.com/brantford_farmers_market/,brucejacobson@brantford.ca,"79 Icomm Drive, Brantford, ON, Canada, Ontario",Brantford,519-752-8824,Yes,No,Farmer's Market,Fridays: 9:00 a.m. to 2:00 p.m.; Saturdays: 7:00 a.m. to 2:00 p.m.,,
Brights Grove Market,https://www.facebook.com/brightsgrovemarket/,https://www.instagram.com/brightsgrovesummermarket/,emep2019@gmail.com,"2759 Lakeshore Road, Brights Grove, ON N0N 1C0",Brights Grove,519-402-3530,Yes,No,Farmer's Market,Wednesday 4:00 PM - 8:00 PM,,
Brockville Farmer's Market,https://www.brockvillefarmersmarket.ca/,https://www.instagram.com/brockvillefarmersmarket,info@brockvillefarmersmarket.ca,"Market Street West, Brockville, ON K6V",Brockville,613-213-2190,Yes,Not Sure,Farmer's Market,Saturdays: 8:00 am to 1:00 pm,,
Bronte Farmers' Market,https://bronte-village.ca/2024-bronte-farmers-market-vendor-applications-available-now/,https://www.instagram.com/brontebia/,info@brontevillage.net,"2445 Lakeshore Rd W, Oakville, ON L6L 1H6",Oakville,905-825-3258,Yes,No,Farmer's Market,Monday to Friday 9:00am - 5:00pm,,
Brooklin Farmers' Market,https://www.whitbyfarmersmarket.ca/,https://www.instagram.com/whitbyfarmersmarket,whitbyfarmersmarket@gmail.com,"405 Dundas St West, Whitby, ON, Canada, Ontario",Whitby,905-767-7086,Yes,No,Farmer's Market,Saturdays 9:00am - 2:00pm June-October,,
Burlington Centre Lions Farmers' Market,https://www.burlingtoncentrefarmersmarket.ca/,-,burlington.centre.farmers.market@gmail.com,"777 Guelph Line, Burlington, ON L7R 4L6",Burlington,905-634-4002,Yes,Yes,Farmer's Market,Wednesday: 8:00 AM to 2:00 PM; Friday: 8:00 AM to 3:00 PM; Saturday: 8:00 AM to 2:00 PM,,
Cabbagetown Farmers Market,https://www.cabbagetownmarket.ca/,https://www.instagram.com/cabbagetownmarket,info@cabbagetownmarket.ca,"Riverdale Park West, Toronto, ON, Ontario",Toronto,705-331-2870,Yes,No,Farmer's Market,Tuesdays 3:00pm - 7:00pm,,
Caledonia Farmers' Market,https://www.facebook.com/profile.php?id=100063708303777,-,canfield387@gmail.com,"151 Caithness Street East, Caledonia Ontario N3W 1C2",Caledonia,905-961-1257,Yes,Yes,Farmer's Market,Thursday 2:00 PM - 7:00 PM,,
Cambridge Farmers' Market,https://www.cambridgefarmersmarket.ca/,https://www.instagram.com/cambridgefarmersmarket,farmersmarket@cambridge.ca,"40 Dickson St, Cambridge, ON N1R 1T7",Cambridge,519-740-4681,Yes,No,Farmer's Market,Saturdays 7:00am - 1:00ppm,,
Campbellford Farmers' Market,https://www.facebook.com/CampbellfordFarmersMarket/,https://www.instagram.com/thecampbellfordmarket,campbellfordfm@gmail.co,"66 Front Street South,Campbellford, ON K0L 1L0",Campbellford,416-931-5736,Yes,No,Farmer's Market,Saturday 9:00 AM - 1:00 PM,,
Carleton Place Farmers' Market,http://carletonplacefarmersmarket.ca/,https://www.instagram.com/cpfarmers.market/,CPfarmersmarket@outlook.com,"7 Beckwith St, Carleton Place, ON K7C 2T1",Carleton Place,613-324-1271,Yes,No,Farmer's Market,Saturday8:30 AM - 12:30 PM,,
Carp Farmers' Market,https://carpfarmersmarket.ca/,https://www.instagram.com/carpfarmersmarket,carpfarmersmarket@gmail.com,"P.O. Box 367 Carp, ON K0A 1L0",Carp,"613-709-3263",Yes,No,Farmer's Market,Saturday 8am to 1pm,,
Cayuga Country Market,https://www.facebook.com/groups/842525920597952,-,cayugamarket@gmail.com,"8 Echo Street West, Cayuga, ON N0A 1E0",Cayuga,"905-975-3276",Yes,No,Farmer's Market,Saturday 8:00 to !pm,,
Civitan Dorval Crossing Farmers Market,http://www.oakvillefarmersmarket.ca/,http://instagram.com/oakvillecivitanfarmersmarket,"ghorhota@rogers.com","200 North Service Road West, Oakville, ON L6M 2Y1",Oakville,"416-357-9788",Yes,No,Farmer's Market,SAT 08:00 – 13:30 (1:30P.M.),,
Clarington Farmer's Market,-,-,claringtonfarmersmarket@gmail.co,"1780 Rudell Road Newcastle, ON L1B 1G8",Newcastle,"905-725-7824",Yes,No,Farmer's Market,-,,
Cloverbelt Country Farmers' Market - Agricultural Center,https://www.cloverbeltfarmersmarket.com/,https://www.instagram.com/cloverbeltfarmersmarket/,cloverbeltfarmersmarket@gmail.com,"99 Scott Street, Dryden, ON P8N 3G2",Dryden,807-220-1178,Yes,No,Farmer's Market,Thursday 3:00pm - 6:00pm,,
Cloverbelt Country Farmers' Market - Oxdrift Hall,https://www.cloverbeltfarmersmarket.com/,,cloverbeltfarmersmarket@gmail.com,"18946 Hwy 17, Oxdrift, ON P0V 2J0",Oxdrift,807-220-3358,Yes,No,Farmer's Market,Saturday 9:00am - 12:00pm,,
Cobourg Farmers' Market,http://www.cobourgfarmersmarket.com/,https://www.instagram.com/cobourgfarmersmarket/,cobourgfarmersmarket@gmail.com,"Rotary Harbourfront Park, Cobourg, ON, Canada, Ontario",Cobourg,647-535-5456,Yes,No,Farmer's Market,Saturday 8:00am - 1:00pm,,
Cochrane Farmers' Market,https://cochraneontario.com/,,recreation@cochraneontario.com,"226 Fifth Street, Cochrane, ON P0L1C0",Cochrane,705-272-5084,Yes,No,Farmer's Market,-,,
Codrington Farmers' Market,https://www.codringtonfarmersmarket.ca/,https://www.instagram.com/codringtonfarmersmarket/,lianapalmer@xplorernet.com,"2992 County Rd 30, Codrington, ON K0K 1R0",Codrington,613-475-4005,Yes,No,Farmer's Market,Sundays 10:00am - 1:00pm,,
Collingwood Downtown Farmers' Market,https://collingwooddowntown.com/farmers-market/,https://www.instagram.com/collingwooddowntown/,info@collingwooddowntown.com,"105 Hurontario Street, P.O. Box 23, Collingwood, Ontario L9Y 3Z4",Collllingwood,705-445-5595,Yes,No,Farmer's Market,-,,
Combermere Farmers' Market,https://www.facebook.com/combermeresfarmersmarket,-,jharron_thewildwood@hotmail.com,"1007 Mill Street, Combermere, ON K0J 1L0",Combermere, 613-756-5602,Yes,No,Farmer's Market,Saturdays 8:00am - 11:00am,,
Constance Bay Community Market,https://marketinthebay.com/,https://www.instagram.com/marketinthebay,marketinthebay@gmail.com,"262 Len Purcell Drive, Ottawa, ON K0A 3M0",Ottawa,613-880-3746,Yes,Yes,Farmer's Market,-,,
