Name,URL,Instagram,Email address,Address,Town / City,Phone,Open to public?,Online store?,Categories,Hours
Pie In The Sky Bakery,www.pieintheskyfarmandbakery.com,https://www.instagram.com/pieintheskyfarmandbakery,Ben.pieinthesky@gmail.com,"33165 Bell Road, Wainfleet, Ontario L0S 1V0",Wainfleet,(905) 870-2923,Yes,Yes,Bakery,
20 Valley Harvest Farms,www.20valleyharvest.ca,https://www.instagram.com/20valleyharvest/,20valleyharvest@gmail.com,"4235 15th Street, Jordan Station, Ontario, L0R 1S0",Jordan Station,(905) 562-5272,,,"Pick-your-own, Cherries, Baked Goods, Pantry, Syrup, Produce",
Fenwick Berry Farm,https://www.fenwickberryfarm.ca,https://www.instagram.com/fenwickberryfarm,fenwickberryfarm@gmail.com,"1760 Balfour St, Fenwick, Ontario L0S 1C0",Fenwick,(905) 892-8231,,,"Strawberries, Pick-your-own",
Stapleton's Farm Market,www.stapletonsfarmmarket.com,https://www.instagram.com/stapletonsfarmmarket,stapleton_farms@hotmail.com,"2708 County Rd 28 Port Hope, Ontario L1A 3V6",Port Hope,,Yes,,"Produce, Meat, Baked Goods, Pantry",
Ottawa St Farmers Market,https://ottawastreetfarmers.com/,https://www.instagram.com/ottawastfarmers,info@ottawastreetfarmers.com,"3 Britannia Ave. Hamilton, Ontario L8H 3Z5",Hamilton,(289) 426-2461,Yes,,Farmers market,"Saturdays 8am - 2pm April - December
"
Bowmanlea Farms,-,-,bowmanme@ntl.sympatico.ca,"064511 Pineheights Road, Thornloe, ON P0J 1S0",Thornloe,705-563-8444,Yes,No,Farm,-
Gammondale Farm,https://www.gammondalefarm.com/,https://www.instagram.com/gammondalefarm/?hl=en,farmfun@tbaytel.net,"426 McCluskey Dr, Slate River Valley, ON P7J 0B3",Slate River Valley,807-475-5615,Yes,No,Farm,-
Leisure Farms,https://www.shopleisurefarms.ca/,https://www.instagram.com/leisurefarms/,contact@leisurefarms.ca,"744 Quesnel Rd, Sturgeon Falls, ON P2B 2W3",Sturgeon Falls,705-753-0109,Yes,Yes,"Farm, Bakery",-
Board’s Honey Farm,https://northernnectars.com/,https://www.instagram.com/boards_honey_farm,info@boardshoneyfarm.com,"6866 Hwy. 534, RR#1 Nipissing, ON, P0H 1WO",Nipissing,705-729-2939,Yes,Yes,Honey Farm,Open 10-5pm daily
Hugli’s Blueberry Ranch,https://blueberryranch.ca/,https://www.instagram.com/hugliblueberryranch/,info@blueberryranch.ca,"2139 Greenwood Rd, Pembroke, ON K8A 6W2",Pembroke,613-638-1288,Yes,Yes,Blueberry,"Mon – Sat 10am-5pm, Sun 11am-4pm"
Muskoka Lakes Farm & Winery,https://cranberry.ca/,https://www.instagram.com/johnstons_cranberries,ontario@cranberry.ca,"1074 Cranberry Road, Bala, ON, P0C 1A0",Bala,705-762-3203,Yes,Yes,Farm & Winery,Daily 10-5
